Heading,Contents,Persons,Dates,Cities,Organizations,_id
TriState HVAC Equipment,"ENN Group is an energy and natural gas production company headquartered in the Hebei province of China.

Stock Symbol: 600803

***** SENSITIVE DATA WILL BE PUBLISHED SOON ****",[],14 August 2022,[Hebei],[ENN Group],63a52adae45bcae2d46b7109
ENN Group,"2.9 TB of data were downloaded.

Weidmüller Interface, founded in 1850, is a German based manufacturing company that focuses on creating solutions and products for the industrial industry.

**** DATA WILL BE PUBLISHED SOON ****",[],4 August 2022,[],[TB],63a52adae45bcae2d46b710a
CIMEX,"Carrolls Irish Gifts are a fully Irish owned company established in 1982 and are one of the leading retailers of quality Irish clothing, jewellery, souvenirs and gift product. If you have visited Ireland, you will have surely visited one of our many famous stores! We stock leading Irish products such as Guinness, Aran Knitwear, Solvar, Trinity, Mullingar Pewter and many more.... We carry 1000's of gift and souvenir products across a wide range of categories. We are almost 40 years in business delivering the highest standards of customer service and a massive range of top quality products at the best prices.



With 17 Irish stores, we are dedicated to welcoming visitors from all over the world and introducing them to our range of authentic products.



CarrollsIrishGifts.com - Best in Class Online Service
Our dedicated on-line team has been providing the Carrolls Irish Gifts unique shopping experience since 2003.


All orders placed online through our state of the art online store are delivered within days (worldwide) and are fully traceable from the time they leave our dispatch centre, in Dublin's main shopping street, O'Connell Street, until they reach your address. We are experts in local as well as international delivery and deliver to 164 countries around the world.",[],27 July 2022,[Ireland],"[Guinness, OConnell Street]",63a52adae45bcae2d46b710b
Weidmueller,"Behavioral Health System state behavioral health organization 

**** SENSITIVE DATA ARE COMING SOON *****",[],27 July 2022,[],[Behavioral Health System],63a52adae45bcae2d46b710c
LaVan & Neidenberg,Television Autonomica De Castilla La Mancha,"[Autonomica De Castilla, La Mancha]",20 July 2022,[],[],63a52adae45bcae2d46b710d
Carrolls Irish Gifts,"When people say “I’ll talk to my accountant”, all too often that means “I’ll call the office, leave a message on an answerphone and hope that somebody will call back”.

Whether you’re a local start-up company, a growing SME or the UK office of a major corporate, the Hamlyns commitment to genuine personal service remains consistent. And that means that you will always – always – be put straight through to your Partner or a senior member of the team. A named individual who knows you; who knows your specific business and financial affairs; who understands your particular needs and issues.

That’s how, over the years, we remain able to offer the flexibility and accounting agility to evolve the service we offer you in response to your changing circumstances. It’s only common sense, but it’s a commitment that our clients tell us really adds unique value to the Hamlyns experience.

How we work
Our approach to advice is underpinned by core values, allowing us to provide the level of service our clients deserve.

We consider our clients as partners and look to enjoy success together.

Our close-knit management team are highly respected in the business community.","[Ill, Hamlyns]",16 July 2022,[UK],"[Ill, Hamlyns, Partner]",63a52adae45bcae2d46b710e
Behavioral Health System,"Who is Network4Cars? Network4Cars is a rapidly growing company operating in the international car trade. We deal in large-scale new, nearly new, and used cars. Our customers are garage owners, dealers, rental and car leasing companies, and fleet owners. Our mission is to provide the best deal at the right time.",[],14 July 2022,[],[Network4Cars Network4Cars],63a52adbe45bcae2d46b710f
RTVCM,"Diskriter Inc.
Headquartered in Pittsburgh, Pennsylvania since 1947, Diskriter professionals have worked side-by-side with healthcare providers of all types and sizes in the United States supplying customized HIM Department Solutions that deliver measurable results. Today, Diskriter maintains two core divisions which include Health Information Management Solutions and Medical Transcription Services.
Today’s hospitals and healthcare organizations are confronted with increasingly rigid regulatory and compliance rules, HIM professional labor pool shortages and revenue cycle management challenges. To manage the operation efficiently, minimize risk and exposure, improve cash flow, and provide quality patient care you need a professional and experienced partner you can depend on for support.
Timely healthcare information is critical to patient care and your facility’s success. At Diskriter, we have a keen understanding of the extensive HIM functions and the need for timely, accurate, and effective solutions. Building partnerships and exceeding customer expectations is the rule, not the exception.",[],13 July 2022,[United States],"[Diskriter IncHeadquartered Pittsburgh Pennsylvania 1947 Diskriter, HIM Department Solutions, Health Information Management Solutions Medical Transcription ServicesTodays, Diskriter]",63a52adbe45bcae2d46b7110
Hamlyns Limited,"Advancing Lightweight Engineering
SuperAlloy Industrial Company Ltd. (SAI) is an international company who specializes in engineering and manufacturing lightweight metal products for predominantly the automotive industries. The company is headquartered in Taiwan, R.O.C – with sales and support offices located in United States of America, United Kingdom, Germany and Netherlands.

****** If the company will net get in touch with us within 3 days then it's data will be disclosed ******",[],4 July 2022,"[Taiwan, ROC, United States, United Kingdom Germany Netherlands]",[],63a52adbe45bcae2d46b7111
NETWORK4CARS,"Arte Radiotelevisivo Argentino (Artear) is a company belonging to Grupo Clarín, dedicated to the production and broadcast of various television channels.",[Grupo Clarn],4 July 2022,[],[],63a52adbe45bcae2d46b7112
Diskriter,"We are Brain and Spine

At Goodman Campbell Brain and Spine, patients benefit from an environment in which leading edge experts in subspecialty medicine and clinical research have come together to pursue a unique, patient-first approach to brain, spine and nerve care.

Our Practice

Everything you think, feel and do is connected to your brain and spine-the you inside you. Healing and protecting that unique you is what inspires us at Goodman Campbell. As one of North America’s largest and most progressive neurosurgical practices, our expertise includes a full spectrum of adult and pediatric brain, spine and nerve care. We are able to treat all conditions and traumatic injury, including brain aneurysms, subarachnoid hemorrhage, stroke, brain tumors, complex spinal disorders, degenerative disease, spinal tumors, traumatic injuries and back and neck pain.
The mission of Goodman Campbell Brain and Spine is to be the leader in advancing the health of adults and children with neurosurgical disorders by providing comprehensive, compassionate and superior care in a state-of-the-art environment of healing, teaching and discovery.","[Campbell Brain, Campbell Brain]",28 June 2022,[],"[Goodman, Goodman]",63a52adbe45bcae2d46b7113
"SuperAlloy Industrial Co., Ltd.","Welcome to Travira Air, a world-class charter air service operator & maintenance services provider headquartered in Jakarta, Indonesia. Our goal is simply to offer the highest standards of professionalism and service as measured by our safety record, dispatch aircraft reliability and customer satisfaction. It is no surprise that many of our clients have been with us for years. Find out what we can do for you to keep you flying safely & smoothly.

**** EXFILTRATED FILES ARE COMING SOON ****",[],28 June 2022,"[Jakarta, Indonesia]",[Travira Air],63a52adbe45bcae2d46b7114
Alphapointe,"XEIAD is a civil engineering consultancy specialising in difficult access. We are engineers with extensive experience in rope access, diving and confined spaces. We have also developed the use of Remotely Operated Aerial Vehicles (ROAVs) to complement our inspection procedures. We undertake a wide range of Inspections, Assessments, Surveys, Non-Destructive Testing & Intrusive Investigations, Design and Project Management. We also launched, in October 2017, our Infrastructure Services division to support Asset Owners and Principal Contractors with specialist access maintenance and repairs.

Our teams have a unique experience inspecting structures such as bridges, culverts, retaining walls, tunnels and shafts working across a wide range of industry sectors: We help asset owners and managers keep critical infrastructure safe, reduce risk and maintenance costs as well as extend asset life.

**** EXFILTRATED FILES ARE COMING SOON ****",[],23 June 2022,[],"[Infrastructure Services, Asset Owners Principal Contractors]",63a52adbe45bcae2d46b7115
Arte Radiotelevisivo Argentino (Artear),"*** Disclaimer: we are not related with Conti. ***

RateGain Travel Technologies Limited, (NSE,BSE: RateGain) is a leading provider of SaaS solutions for travel and hospitality that works with over 1400 customers in over 100+ countries helping them accelerate revenue generation through acquisition, retention and wallet share expansion. Founded in 2004 and headquartered in India, RateGain is one of the world’s largest processors of electronic transactions and price points for the travel and hospitality industry.",[],23 June 2022,[],[Conti RateGain Travel Technologies],63a52adbe45bcae2d46b7116
Goodman Campbell Brain & Spine,"Faw-Volkswagen Automobile Co., Ltd. is located in Changchun, Jilin, China and is part of the Motor Vehicle Manufacturing Industry. Faw-Volkswagen Automobile Co., Ltd. has 22,540 total employees across all of its locations. There are 205 companies in the Faw-Volkswagen Automobile Co., Ltd. corporate family.",[],8 June 2022,[],"[FawVolkswagen Automobile Co Ltd, Changchun Jilin China Motor Vehicle Manufacturing Industry FawVolkswagen Automobile Co Ltd 22540, FawVolkswagen Automobile Co Ltd]",63a52adbe45bcae2d46b7117
Travira Air,"*** Disclaimer: we are not related with Conti. ***

Attica Holdings S.A. (Attica Group or Attica) is a leader in the provision of ferry services for passengers and cargo in the Eastern Mediterranean Sea. Serving 60 destinations, connecting 71 ports, in the Greek domestic market (including the more remote Greek islands destinations) and on the international routes between Greece and Italy and Morocco with Spain, Attica Group’s brand names, Superfast Ferries, Blue Star Ferries, Africa Morocco Link (AML) and the newly acquired Hellenic Seaways are established in the European maritime transport industry as synonyms of high-end quality ferry services.

AML operates between Morocco and Spain offering up to 8 sailings per day from the port of Tanger - Med to the port of Algeciras, providing high quality and reliable transportation services for passengers, trucks and private vehicles, combining comfort and luxury with speed and functionality.

Attica Group is a member of Marfin Investment Group, an international investment holding company based in Greece and throughout Southeast Europe and is listed on Athens Stock Exchange (ASE:ATTICA).

The Attica Group fleet consists of 32 modern and technologically advanced vessels and high-speed , providing high quality transportation services for passengers, trucks and private vehicles. While on board the passengers will not only find luxurious accommodation, fine wining and dining and a wide range of activities for both adults and children but, most importantly, a level of service and attention to detail that have established Attica in the ferry industry. The expertise and the professionalism accompanied with the warm smile of the carefully-selected staff contribute in offering passengers an exceptional and standardized on board experience throughout the journey.",[],28 May 2022,[Attica],"[Conti Attica Holdings, SA Attica Group Attica, Greece Italy, Morocco Spain Attica Groups, AML, Morocco Spain, Tanger Med, Algeciras, functionalityAttica Group, Marfin Investment Group, Greece Southeast Europe, Athens Stock Exchange, Attica Group]",63a52adbe45bcae2d46b7118
XEIAD,"SSK Ingeniería y Construcción S.A.C. is located in LIMA, LIMA, Peru and is part of the Foundation, Structure, and Building Exterior Contractors Industry. SSK Ingeniería y Construcción S.A.C. has 4 total employees across all of its locations and generates $101.39 million in sales (USD). There are 71 companies in the SSK Ingeniería y Construcción S.A.C. corporate family.",[Construccin SAC],28 May 2022,[],"[SSK, LIMA LIMA Peru, USD, SSK, SAC]",63a52adce45bcae2d46b7119
RateGain,"Konradin Mediengruppe GmbH is located in Leinfelden-Echterdingen, Baden-Württemberg, Germany and is part of the Printing and Related Support Activities Industry. Konradin Mediengruppe GmbH has 551 total employees across all of its locations and generates $106.45 million in sales (USD). There are 15 companies in the Konradin Mediengruppe GmbH corporate family.

**** EXFILTRATED FILES ARE COMING SOON ****","[Konradin Mediengruppe GmbH, 10645]",24 May 2022,[],"[LeinfeldenEchterdingen BadenWrttemberg Germany, USD, Konradin]",63a52adce45bcae2d46b711a
Tri-Ko,Pollmann International specializes in the high-volume production of complex modules for hatch kinematics and electromechanical doors.,[Pollmann International],19 May 2022,[],[],63a52adce45bcae2d46b711b
"Faw-Volkswagen Automobile Co., Ltd.","Banco Multiple Caribe Internacional, S. A.",[],4 May 2022,[],[Banco Multiple Caribe Internacional S A],63a52adce45bcae2d46b711c
Attica Group,"Headquartered in Jakarta, Indonesia, the Ministry For Foreign Affairs of the Republic of Indonesia represents the Indonesian interests in the UN.",[],28 April 2022,[],"[Headquartered Jakarta Indonesia Ministry For Foreign Affairs Republic Indonesia, UN]",63a52adce45bcae2d46b711d
SSK Ingeniería Y Construcción S.A.C.,"Providing planning, engineering, architectural, structural, surveying, construction observation, 3D visualization, and virtual infrastructure services.",[],26 April 2022,[],[],63a52adce45bcae2d46b711e
Konradin Mediengruppe GmbH,": KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS S.L. SUCURSAL ARGENTINA is located in Ciudad de Buenos Aires, Argentina and is part of the Management, Scientific, and Technical Consulting Services Industry. KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS S.L. SUCURSAL ARGENTINA has 508 total employees across all of its locations and generates $7.56 million in sales (USD). There are 79 companies in the KONECTA SERVICIOS ADMINISTRATIVOS ...",[],26 March 2022,[],"[KONECTA SERVICIOS ADMINISTRATIVOS, Ciudad Buenos Aires, Management Scientific Technical Consulting Services Industry, USD, KONECTA SERVICIOS ADMINISTRATIVOS]",63a52adce45bcae2d46b711f
Pollmann,"ASPHALION is an International Scientific and Regulatory Affairs consultancy firm based in Barcelona, Madrid and Munich. We offer comprehensive services for Drug Development and Regulatory Affairs to Pharma, Biotech and Medical Devices companies. Since 2000",[],25 March 2022,[],"[ASPHALION International Scientific Regulatory Affairs, Barcelona Madrid Munich, Drug Development Regulatory]",63a52adce45bcae2d46b7120
Banco Caribe,"St Médico Hospitalar Sul, Brasilia, Federal District, 70000-000, Brazil",[],25 March 2022,[Brazil],[St Mdico Hospitalar],63a52adce45bcae2d46b7121
Ministry For Foreign Affairs Of The Republic Of Indonesia,"Grupo Rotoplas SAB de CV is a Mexican company which is engaged in the development and distribution of water solutions and sanitation in the Americas. It offers equipment for water storage, piping, purification and water treatment. The company also provides integrated systems for water treatment, distributed with added value services, such as installation and maintenance. Its operating segment includes Individual solutions and Comprehensive solutions. The company generates maximum revenue from the Individual solutions segment. Geographically, it derives a majority of revenue from Mexico.

https://www.investing.com/equities/rotoplas-sa-de-cv-financial-summary","[Grupo Rotoplas, CV Mexican, Mexicohttpswwwinvestingcomequitiesrotoplassadecvfinancialsummary]",25 March 2022,[],"[Individual, Comprehensive, Geographically]",63a52adce45bcae2d46b7122
Passero Associates,"Public Company with branches across the world

4 parent domains and multi child domains

2700 machines 25 esxi",[],24 March 2022,[],[domains2700],63a52adde45bcae2d46b7123
KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS S.L. SUCURSAL ARGENTINA,"We develop, build and maintain next-generation wireless networks and commercial facilities. Partnering with Centerline Communications insures speed to market, access to cutting edge solutions and support when you need it most. With Centerline Communications by your side you minimize technical issues, network development and maintenance challenges, nationwide.",[],24 March 2022,[],"[Centerline Communications, Centerline Communications]",63a52adde45bcae2d46b7124
Asphalion,"Centurion has manufactured stone veneer since 1969 – being one of the oldest veneer manufacturers in the world. We produce our products at one central location in Nashville, TN. One location ensures quality control of our products.",[],23 March 2022,[Nashville],[],63a52adde45bcae2d46b7125
Instituto De Gesto Estratégica De Sade Do Distrito Federal,"have over 1,500 staff members that educate and support our students and their families.
district is the tenth largest school district in the State of Wisconsin. Our schools include two comprehensive (9-12) high schools, three (6-8) middle schools, and 12 (Pre-K-5) elementary schools and 19 P4J (4-year old early learners) Community Partnership sites.",[],23 March 2022,[Wisconsin],[Community Partnership],63a52adde45bcae2d46b7126
Wibag Bau Ag,"UCSI Group is a leading Malaysian conglomerate that is synonymous with excellence. Today, the UCSI brand is active in six clusters: Education, Consultancy",[],22 March 2022,[],"[UCSI Group, UCSI]",63a52adde45bcae2d46b7127
Rotoplas,"Dayton T. Brown, Inc. (DTB) has been synonymous with the pursuit of excellence and customer service for over 70 years. As a leader in the fields of testing",[],22 March 2022,[],[Dayton T Brown Inc DTB],63a52adde45bcae2d46b7128
Polynt Group,"GOME Retail Holdings Limited, known as GOME, is a retail group which operates a chain of store across the country of China",[],22 March 2022,[China],[GOME Retail Holdings Limited],63a52adde45bcae2d46b7129
Centerline Communication Llc,"Otto Dörner GmbH & Co. KG is located in Hamburg, Hamburg, Germany and is part of the Nonmetallic Mineral Mining and Quarrying Industry. Otto Dörner GmbH & Co. KG has 1,044 total employees across all of its locations and generates $249.83 million in sales (USD). There are 38 companies in the Otto Dörner GmbH & Co. KG corporate family.","[Otto Drner, Co KG, Otto Drner]",22 March 2022,"[Hamburg, Hamburg, Germany]",[USD],63a52adde45bcae2d46b712a
Centurion Stone,"Founded in 1990, NSM Insurance Group provides insurance services. The company offers pets, addiction treatment, workers compensation, charter and private school


**** Exfiltrated files will be published soon ****",[],22 March 2022,[],[NSM Insurance Group],63a52adde45bcae2d46b712b
School District Of Janesville,"The British Columbia Institute of Technology (also referred to as BCIT), is a public polytechnic institute in Burnaby, British Columbia. The technical institute has five campuses located in the Metro Vancouver region, with its main campus in Burnaby, British Columbia, Canada. There is also the Aerospace Technology Campus in Richmond, the Marine Campus in the City of North Vancouver, Downtown campus in Vancouver, and Annacis Island Campus in Delta. It is provincially chartered through legislation in the College and Institute Act. The school operates as a vocational and technical school, offering apprenticeships for the skilled trades and diplomas and degrees in vocational education for skilled technicians and workers in professions such as engineering, accountancy, business administration, broadcast/media communications, digital arts, nursing, computing, medicine, architecture, and law.

BCIT was first established as the British Columbia Vocational School in 1960. When BCIT opened its Burnaby campus in 1964, initial enrollment was 498 students. As of 2017, enrollment has grown to 18,755 full-time students and 30,593 part-time students. Since its foundation, the institution has been home to over 125,000 alumni.","[Burnaby British, Burnaby British Columbia, Vancouver Annacis, Burnaby]",22 March 2022,[],"[The British Columbia Institute Technology, BCIT public polytechnic, College Institute, business administration broadcastmedia communications digital arts, British Columbia Vocational School, BCIT]",63a52adde45bcae2d46b712c
UCSI University,"PAN AMERICAN ENERGY S.L. SUCURSAL ARGENTINA is located in Ciudad de Buenos Aires, Argentina and is part of the Support Activities for Mining Industry. PAN AMERICAN ENERGY S.L. SUCURSAL ARGENTINA has 5,026 total employees across all of its locations and generates $2.47 billion in sales (USD). There are 10 companies in the PAN AMERICAN ENERGY S.L. SUCURSAL ARGENTINA corporate family.",[],22 March 2022,[],"[PAN AMERICAN ENERGY SL SUCURSAL, PAN AMERICAN ENERGY SL SUCURSAL ARGENTINA, USD, PAN AMERICAN]",63a52adee45bcae2d46b712d
"Dayton T. Brown, Inc","ITS InfoCom is a multinational IT solutions company serving customers throughout North, Central, and South America. Operating in eight countries


*** Exfiltrated files are coming soon ***",[],22 March 2022,[],[InfoCom],63a52adee45bcae2d46b712e
GomeA,EBMPAPST.com,[],22 March 2022,[],[EBMPAPSTcom],63a52adee45bcae2d46b712f
Otto Dörner GmbH & Co. KG,"Founded in 1972, Doner is a advertising company that offers a variety of advertisements in periodicals, newspapers, radio and television.
Phone:(248) 354-9700",[],22 March 2022,[],[],63a52adee45bcae2d46b7130
NSM Insurance Group,"Hyundai Samho Heavy Industries Co.,Ltd. is engaged in manufacturing and selling of tankers, bulk carriers, containerships, car carriers, dredgers, LNG carriers, LPG carriers, and other ships. The company also offers products such as jackets and piles, decks and modules, and living quarters for fixed offshore facilities; semi-submersible rigs, FPSOs, and FSOs for floating and mobile units; pile foundations, marine terminals, and jetties and bridges; steel bridges; and marine and offshore services for marine transportation. In addition, Hyundai Samho Heavy Industries Co.,Ltd. provides engine beds and frame boxes, rudder and R/stocks, and stern equipment for diesel engines; turbine casings, S/turbine casings, blade carriers, stator frames, hydraulic power equipment and others. The company operates as a subsidiary of Hyundai Heavy Industries Co., Ltd. Hyundai Samho Heavy Industries Co.,Ltd. was incorporated in 1998 and is based in Yeongam County, South Korea.",[FPSOs FSOs],18 March 2022,[Yeongam County South Korea],"[Hyundai, Samho Heavy Industries CoLtd, LNG, LPG, Hyundai, Samho Heavy Industries CoLtd, Sturbine, Hyundai Heavy Industries Co Ltd, Hyundai, Heavy Industries CoLtd]",63a52adee45bcae2d46b7131
The British Columbia Institute Of Technology,"Eurocoin Interactive B.V. is located in Waalwijk, NOORD-BRABANT, Netherlands and is part of the Amusement Parks and Arcades Industry. Eurocoin Interactive B.V. has 13 employees at this location and generates $1.97 million in sales (USD). (Sales figure is modelled). There are 668 companies in the Eurocoin Interactive B.V. corporate family.",[],17 March 2022,[],"[Eurocoin Interactive, USD, Eurocoin Interactive]",63a52adee45bcae2d46b7132
PAN AMERICAN ENERGY S.L. SUCURSAL ARGENTINA,"PowerHouse Consulting: The Call Center and
Telecommunications Consulting Experts",[],4 March 2022,[],[PowerHouse Consulting The Call Center andTelecommunications Consulting Experts],63a52adee45bcae2d46b7133
ITS InfoCom,manufacturer of air conditioners and other home environment products,[],24 February 2022,[],[manufacturer air conditioners home],63a52adee45bcae2d46b7134
EBM,*** Exfiltrated files coming soon ***,[],23 February 2022,[],[],63a52adee45bcae2d46b7135
Doner,"Emil Frey, founded in 1924 and headquartered in Zurich, Switzerland, offers new and used cars, utility vans, and commercial vehicles, as well as automotive finance, insurance, and maintenance service.


*** Confidential data (almost 300Gb) will be published soon. ***",[],21 February 2022,"[Zurich, Switzerland]",[Confidential],63a52adee45bcae2d46b7136
"Hyundai Samho Heavy Industries Co.,Ltd. (South Korea)","We deliver a unique value by providing both Large & Small Tonnage Injection Molding, along with World-Class Paint & Surface Finishing. As a Full Service Supplier we streamline the entire process beginning with product design, mold flow analysis, and feasibility studies, to advanced error proofing technology, assembly, and fully integrated secondary operations. Equipped with over 550,000 square feet throughout our 3 plants in Kendallville, Indiana, our 600+ employees are ready to serve your needs.
CLC serves many industries including Automotive, Heavy Truck, Marine, Powersports, and Structural Medical Furniture. Recent Investments in equipment, technology, and staffing, have positioned CLC for continued grow and sustainability.",[Kendallville Indiana],21 February 2022,[],"[Automotive Heavy Truck Marine Powersports Structural Medical Furniture Recent Investments, CLC]",63a52adfe45bcae2d46b7137
Eurocoin Interactive B.V.,"Somos una empresa de creación y gestión profesional de proyectos, programas, centros y servicios sociales, sociosanitarios y educativos.",[],21 February 2022,[],[],63a52adfe45bcae2d46b7138
Powerhouse1,"We are a dental clinic established in Mollerussa that has professionals with extensive experience, always at the technical forefront, which is why we are able to offer the latest treatments when it comes to solving any oral health problem. Our diagnostic tools include modern and minimally invasive methods such as a digital radiology system and a CT scanner, which allows us to perform three-dimensional images, essential in complicated cases of surgery and implantology. This equipment, together with our fish modeling system, allows the realization of implants in just one day. Our goal: to offer a personalized and close treatme",[],21 February 2022,[],[],63a52adfe45bcae2d46b7139
Friedrich,"COOPERATIVA DE ECON E CRED MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA. UNICRED DO ESTADO DE SAO PAULO is located in SUMARE, SAO PAULO, Brazil and is part of the Nondepository Credit Intermediation Industry. There are 25 companies in the COOPERATIVA DE ECON E CRED MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA. UNICRED DO ESTADO DE SAO PAULO corporate family.",[SUMARE SAO],15 February 2022,[],[Brazil Nondepository Credit Intermediation Industry],63a52adfe45bcae2d46b713a
Rodonaves Transportes E Encomendas Ltda,"Founded in 2012, Claro Colombia is a company that provides telecommunications specializing in mobile phone services, and Internet services",[],7 February 2022,[],[],63a52adfe45bcae2d46b713b
Emil Frey,"Established in 1994 and headquartered in Garden City, Egypt, Ezz Steel is a producer of steel product",[],1 February 2022,[Garden City Egypt Ezz Steel],[],63a52adfe45bcae2d46b713c
Creative Liquid Coatings INC,"Metro US: Local, National, International News
Metro.us delivers local, national, international, entertainment and sports news 24/7 — all you need to know on a daily basis.",[],24 January 2022,[],[Metro US],63a52adfe45bcae2d46b713d
Grupo5,The Family Christian Health Center was founded and developed in April 2000 by a group of family practitioners that got together to try and solve the lack of med,[],22 January 2022,[],[The Family Christian Health Center],63a52adfe45bcae2d46b713e
Centre D'Odontologia Integrada Miret-Puig,"https://www.zoominfo.com/c/conform-group-of-companies/369058963

ConForm Automotive supplies premium quality sheets, roll goods, and custom thermoformed products to OEM's and converters primarily in the automotive industry. Works with BMW / CHRYSLER / FORD / GM / HONDA / NISSAN / TESLA / TOYOTA / VW and many others.

Data packs contain customers confidential agreements and purchase orders.",[],20 January 2022,[],"[BMW CHRYSLER, FORD, GM, NISSAN]",63a52adfe45bcae2d46b713f
RIVADIS,"The history of Wolsey Ltd can be traced back over two hundred and fifty years. As early as 1744 Henry Wood was trading in Leicester as a hosier. In 1935 the Company, in recognition of its high quality and commitment to service, was awarded the Royal Warrant",[Henry Wood],20 January 2022,[],"[Wolsey Ltd, Royal Warrant]",63a52ae0e45bcae2d46b7140
UNICRED,"Raveco is located in Forest Hills, NY, United States and is part of the Offices of Physicians Industry. Raveco has 17 total employees across all of its locations and generates $2.75 million in sales (USD). (Employees and Sales figures are modelled).",[],20 January 2022,"[Forest Hills, NY United States Offices Physicians Industry]","[Raveco, USD Employees Sales]",63a52ae0e45bcae2d46b7141
Claro Colombia,GryphTech is a global leader in real estate management technology and the preferred choice of real estate franchise networks around the world. For over 22 years,[],20 January 2022,[],[GryphTech],63a52ae0e45bcae2d46b7142
Ezz Steel,"is a social and health local unit intends to qualify as a results-driven company, able, therefore, to reconcile and meet the needs of different stakeholders that are part of the organization itself.",[],9 January 2022,[],[social health],63a52ae0e45bcae2d46b7143
Metro.Us,"Sadbhav Engineering Limited (SEL) is an Indian civil engineering and construction company headquartered in Ahmedabad, Gujarat. It was founded in 1988 by Mr. ... Patel (1942-2018) and the company has implemented projects in the construction of Roads & Highways, Bridges, Mining and Irrigation supporting infrastructure etc.",[],28 December 2021,[],[],63a52ae0e45bcae2d46b7144
Family Christian Health Center,Institute For Systems And Robotics,[],25 December 2021,[],[Institute For Systems],63a52ae0e45bcae2d46b7145
ConForm Automotive,"Founded in 2016 and headquartered in Zurich, Switzerland, MediaMarktSaturn Retail Group is a retail company for consumer electronics",[],22 December 2021,[Zurich],[MediaMarktSaturn Retail Group],63a52ae0e45bcae2d46b7146
WOLSEY,"Drake & Scull International PJSC is a global industry leader delivering state-of-the-art projects and solutions across its five main high-performance sectors including: General Contracting, Engineering, Rail, Oil and Gas, Infrastructure development, Water and Wastewater treatment.
Through its operations, it provides integrated design, smooth functionality and efficiency from start to finish.
From Infrastructure Development, Waste to Energy, Data Centres Development, Mechanical Electrical and Plumbing (MEP) to Renewable Energy, Drake & Scull continues to be at the helm, driving the market forward through the people, passion and innovation for more than 130 years.",[],20 December 2021,[],"[General Contracting Engineering Rail Oil Gas Infrastructure, Infrastructure Development Waste Energy Data Centres Development Mechanical]",63a52ae0e45bcae2d46b7147
Haselden Construction,"Bohlke International Airways was established in 1959 by Bill Bohlke, Sr., with the dream of starting an airline in the Caribbean and landed on the beautiful",[Bill Bohlke Sr],20 December 2021,[],[Bohlke International Airways],63a52ae0e45bcae2d46b7148
Raveco,"On 11.14.2021 SUPERNUS's network was compromised, encrypted and 1.5 terabytes of data were exfiltrated. Since then Supernus Inc. was in constant negotiations to prevent a disclosure of this incident because of pending acquisition of ADAMAS PHARMACEUTICALS, INC. On Nov. 24 SUPERNUS INC. filed this document https://sec.report/Document/0001104659-21-143352/. The document has not an information about the breach. SUPERNUS partners and consumers have to be aware about company’s unethical behavior. 

The exfiltrated data will uploaded soon.






We are a biopharmaceutical company focused on developing and commercializing products for the treatment of central nervous system (CNS) diseases.

Over the last 30 years, we have built an extensive expertise in product development. Initially, we were a stand-alone development organization, then a U.S. subsidiary of Shire plc and, in late 2005, we became Supernus Pharmaceuticals, Inc.

Market Cap 1.7B

Exfiltrated 1,268,906 files, 1.52 TB in total",[Cap],17 December 2021,[US],"[Supernus Inc, SUPERNUS INC, SUPERNUS, CNS, Shire plc, TB]",63a52ae1e45bcae2d46b7149
GryphTech,"APR Supply is a full-service distributor of plumbing, heating and cooling supplies.",[],14 December 2021,[],[APR Supply],63a52ae1e45bcae2d46b714a
Powell Transportation,"Johnson Memorial Health is a nationally recognized network of physicians and advanced practice providers that provides healthcare to Johnson County and surrounding areas. 
++++++++++++++++++++++++++++++++
Full patient info stolen.
150k DOB/SSN/Name+Surname
Diagnosis information
Next of kin
300GB of data from File Server stolen.",[],10 December 2021,"[Johnson County, GB]","[Johnson Memorial Health, stolen150k, File Server]",63a52ae1e45bcae2d46b714b
Unita Locale Socio,"Marten Transport, Ltd. operates as a temperature-sensitive truckload carrier for shippers in the United States, Canada, and Mexico. It operates through four segments: Truckload, Dedicated, Intermodal, and Brokerage. The Truckload segment transports food and other consumer packaged goods that require a temperature-controlled or insulated environment.

NASDAQ: MRTN

*** Exfiltrated files ***
114Gb downloaded total",[],6 December 2021,"[United States, Canada]","[Marten Transport Ltd, MRTN Exfiltrated]",63a52ae1e45bcae2d46b714c
Sadbhav Engineering Limited,XacBank provides integrated banking and financial solutions to consumer and MSMEs throughout its 80 nation-wide branches.,[],3 December 2021,[],[XacBank],63a52ae1e45bcae2d46b714d
Institute For Systems And Robotics (Isr-Lisboa,WAMGROUP offers the one-stop-solution for Bulk Solids Handling & Processing and Waste Water Treatment Equipment.,[Bulk],2 December 2021,[],[],63a52ae1e45bcae2d46b714e
